partido,goles_local,goles_visitante
Gimnasia M. vs Defensa y Justicia,2,1
Cruzeiro vs Atletico-MG,1,3
Union Omaha vs Greenville Triumph,2,0
Rangers de Talca vs D. Puerto Montt,0,1
Barcelona SC vs Manta FC,1,1
Nublense vs Cobresal,2,0
Comunicaciones vs Antigua GFC,2,0
Puerto Cabello vs Deportivo La Guaira,1,1
Platense vs Estudiantes L.P.,0,2
Monterrey W vs Cruz Azul W,4,0
Chicago Fire vs FC Cincinnati,2,3
Houston Dynamo vs Colorado Rapids,1,0
Corpus Christi vs Spokane Velocity,0,0
San Antonio vs Colorado Springs,3,3
North Texas vs Austin II,0,2
Bubali vs La Fama,1,1
Angel City W vs Utah Royals W,0,1
Spokane Zephyr W vs Lexington W,0,0
Boise vs Chattanooga Red Wolves,2,1
Alianza Lima vs UCV Moquegua,2,1
Tigres UANL vs Guadalajara Chivas,3,1
Matagalpa vs Diriangén,0,1
San Diego vs Los Angeles FC,2,2
Alianza FC vs Sporting San Miguelito,3,2
CD Arabe Unido vs Plaza Amador,0,3
UMECIT vs Tauro FC,5,2
Sacramento Republic vs Orange County SC,3,2
Durango vs Deportivo Zap,2,1
CS Cartagines vs CS Herediano,0,1
Los Angeles Galaxy vs Vancouver Whitecaps,1,1
Las Vegas Lights vs Lexington,2,1
Kahibah vs Broadmeadow Magic,1,3
Atlas vs Cruz Azul,2,3
JEF United W vs Cerezo Osaka W,0,1
Vanraure Hachinohe vs Thespakusatsu Gunma,0,1
Matsumoto Yamaga vs Ventforet Kofu,0,1
Sanfrecce Hiroshima W vs Tokyo Verdy Beleza W,2,0
Sydney United vs Sydney Olympic,3,0
South East Utd. U21 vs Hobart Utd.,3,6
INAC Kobe Leonessa W vs Parceiro Nagano W,5,1
Urawa Reds W vs Vegalta Sendai W,0,1
Daegu FC vs Gyeongnam FC,2,0
Hwaseong vs Ansan Greeners,2,0
Seoul E-Land FC vs Gimpo Citizen,2,1
Wollongong Wolves vs Rockdale City Suns,2,2
Weston Bears vs Edgeworth Eagles,2,2
Tokyo Verdy vs Kashiwa Reysol,1,0
Fukushima United vs Omiya Ardija,1,2
Albirex Niigata vs Kamatamare Sanuki,2,1
Imabari vs Nara Club,1,2
Roasso Kumamoto vs Biwako Shiga,2,0
Kitakyushu vs Oita Trinita,2,1
Kanazawa vs Kataller Toyama,0,1
Hong Kong FC vs Southern District,1,4
Khovd Western vs Deren,1,5
Brisbane Roar FC W vs Wellington Phoenix W,2,1
Cheonan City vs Asan Mugunghwa,1,0
Gimhae City vs Busan I Park,0,1
Paju Citizen vs Cheongju,0,0
Yongin City vs Seongnam FC,1,2
Paksi SE II vs Siofok,1,3
AC Taipei vs Tainan City,1,0
Taichung Rock FC vs Tatung,1,0
Richards Bay U23 vs Polokwane City U23,3,0
Orbit College U23 vs TS Galaxy U23,4,2
Gloria Bistrița-Năsăud W vs Unirea Alba Iulia W,1,1
V-varen Nagasaki vs Nagoya Grampus,1,2
WIT Georgia vs Dinamo Tbilisi II,3,2
Slavia Praha II vs Baník Ostrava II,0,3
Viktoria Žižkov vs Táborsko,3,1
Zbrojovka Brno II vs Slovácko II,2,1
Karviná II vs Start Brno,0,5
Sigma Olomouc II vs Frýdek-Místek,0,1
Uničov vs Vítkovice,0,4
Jablonec II vs Baník Souš,0,3
Slovan Liberec II vs Slovan Velvary,8,1
Meteor Praha vs Tempo Praha,1,2
Austria Lustenau vs Schwarz-Weiß Bregenz,2,0
Austria Klagenfurt vs Rapid Wien II,2,1
Petržalka vs Dukla Banská Bystrica,1,3
Žilina II vs Malženice,1,1
Persik Kediri vs Arema FC,3,2
DAC II vs MŠK Senec,1,1
Videm vs Šmartno,5,2
Barito Putera vs Persipal,8,3
Deltras vs Persiba Balikpapan,2,1
Persipura Jayapura vs Persiku Kudus,2,0
PSS Sleman vs PSIS Semarang,3,0
Tornado Pekanbaru vs Persela Lamongan,5,0
Paloma vs Sasel,2,2
Rekord Bielsko-Biala W vs Pogon Tczew W,5,1
Juventus U20 vs Frosinone U20,1,1
Geestemünde vs Habenhauser FV,2,0
Ferencváros II vs Majosi,2,3
Újpest II vs Haladás VSE,1,2
Kisvárda II vs Diósgyőr II,4,1
Nyiregyhaza II vs Tiszaújváros,8,2
Rukh Vynnyky U19 vs Zorya Luhansk U19,1,2
Meppen W vs Ingolstadt W,3,2
Dong Thap vs PVF-CAND,0,0
Ho Chi Minh vs Binh Dinh,3,0
Hertha BSC U19 vs Babelsberg U19,4,3
Chemnitzer FC U19 vs St. Pauli U19,0,0
SGV Freiberg Fussball U19 vs Karlsruher SC U19,2,0
Elversberg U19 vs FK Pirmasens U19,1,3
SG Unterrath U19 vs Rot-Weiss Essen U19,1,3
Rheindorf Altach vs First Vienna W,1,3
Radnički Obrenovac vs FK T6 Nika,2,1
Melita vs Birzebbuga,0,3
Hoffenheim U19 vs Schalke 04 U19,2,1
Mainz 05 U19 vs Augsburg U19,3,0
Las Rozas vs Unión Adarve,0,2
Tres Cantos vs Leganés II,2,3
AD Parla vs Galapagar,0,5
Carabanchel vs Pozuelo Alarcón,3,2
SS Reyes II vs A Madrid III,1,0
Racing Madrid vs Villaverde-Boetticher,0,4
Alcorcón II vs Torrejón,0,1
Móstoles vs Villanueva Pardillo,3,5
Alcobendas Sport vs Trival Valderas,0,2
Parnu JK Vaprus U21 vs Luunja,7,2
Brøndby vs Fortuna Hjørring,2,0
Nordsjælland vs Køge,1,1
Obolon'-Brovar vs Kudrivka,1,1
Sandecja Nowy Sącz vs Podhale Nowy Targ,0,0
Atletico Madrid W vs Eibar W,4,0
Deportivo de La Coruña W vs Real Sociedad W,1,2
Portimonense vs Chaves,3,2
Vorskla Poltava vs Livyi Bereh,0,1
Inhulets vs Probiy Horodenka,3,1
Teruel vs Tarazona,0,0
Juventud Torremolinos vs Atlético Madrid II,3,1
Villarreal II vs Hércules,1,0
Arenteiro vs Cacereño,0,4
Numancia vs Marino de Luanco,1,0
Coruxo vs Gimnástica Segoviana,3,1
Real Ávila vs Deportivo La Coruña II,0,4
Real Oviedo II vs Langreo,3,2
Salamanca UDS vs Lealtad,2,1
Sarriana vs Racing Santander II,3,4
UD Ourense vs Atlético Astorga,1,1
Sámano vs Bergantiños,0,5
Real Valladolid II vs Burgos Promesas,2,0
Basconia vs Ejea,5,1
Beasain vs Real Zaragoza II,3,2
Ebro vs UD Logroñés,0,3
Gernika vs Deportivo Alavés II,0,0
Mutilvera vs Amorebieta,0,2
SD Logroñés vs Tudelano,0,1
Sestao River vs Utebo,1,0
Xerez vs Ucam Murcia,1,0
Yeclano vs Estepona,1,1
Recreativo Huelva vs Xerez Deportivo,3,2
Águilas vs Almería II,2,0
Deportiva Minera vs Lorca Deportiva,1,0
Real Jaén vs Antoniano,1,1
La Unión Atlético vs Puente Genil,1,0
Linares Deportivo vs Extremadura 1924,1,2
Málaga II vs Melilla,3,3
Intercity vs Colonia Moscardó,2,0
Elche II vs Quintanar del Rey,1,3
Navalcarnero vs Fuenlabrada,3,1
Orihuela vs Getafe II,2,1
Rayo Majadahonda vs Rayo Vallecano II,3,0
Real Madrid III vs Conquense,0,1
RSD Alcalá vs CD Coria,1,2
Socuéllamos vs Las Palmas II,1,1
Tenerife II vs SS Reyes,1,3
Andratx vs Atlètic Lleida,3,0
Castellón II vs Girona II,4,2
Porreres vs Alcoyano,0,0
Sant Andreu vs Barbastro,0,1
Ibiza Islas Pitiusas vs Poblense,3,1
Terrassa vs Reddis,0,1
Torrent vs Barcelona B,3,1
Mamelodi Sundowns U23 vs Kaizer Chiefs U23,2,0
CD Lugo B vs Barbadás,5,1
Marbelli vs Granada II,0,1
Mancha Real vs Ciudad de Torredonjimeno,1,2
Mijas Las Lagunas vs Huétor Vega,3,0
Martos vs Huétor Tájar,1,0
Torreperogil vs El Palo,0,2
Arenas Armilla vs Alhaurino,0,1
Churriana Vega vs UD San Pedro,1,1
Atlético Porcuna vs Torre del Mar,1,0
Atlético Central vs Linense,2,1
Conil vs Recreativo Huelva,3,2
Chiclana vs Pozoblanco,0,0
Córdoba II vs San Roque Lepe,2,0
Coria CF vs Tomares,2,2
Cádiz II vs Ciudad de Lucena,3,0
Utrera vs Sevilla III,1,0
Ceuta II vs Castilleja,2,2
Dos Hermanas vs Bollullos,1,2
Platges Calvià vs Manacor,4,2
Formentera vs Cardassar,3,1
Santanyí vs Peña Deportiva,2,1
Rotlet Molinar vs Constància,1,3
Alcúdia vs Binissalem,1,1
Mallorca II vs Mercadal,7,0
Inter Ibiza vs Llosetense,0,1
Son Cladera vs Felanitx,4,3
El Palmar vs Atlético Pulpileño,0,0
UD Caravaca vs Olímpico Totana,0,1
Villafranca vs Jerez,2,1
Don Benito vs Diocesano,8,1
Calamonte vs Badajoz,0,3
UD Logroñés II vs Autol,8,0
Villegas vs Vianés,1,1
Racing Power W vs Braga W,1,2
Olot vs Valencia II,2,0
Hakla SC vs Accra Lions,2,1
Farul Constanţa W vs Olimpia Cluj W,2,0
